ballot,date,title,year
969,25/11/2014,"l'ensemble du projet de loi relatif à la délimitation des régions, aux élections régionales et départementales et modifiant le calendrier électoral (deuxième lecture). [dossier] [analyse du scrutin]",2014
954,18/11/2014,l'ensemble du projet de loi de finances pour 2015 (1ère lecture). [dossier] [analyse du scrutin],2014
944,28/10/2014,l'ensemble du projet de loi de financement de la sécurité sociale pour 2015 (première lecture). [dossier] [analyse du scrutin],2014
929,21/10/2014,le projet de loi de finances pour 2015 (première partie) [dossier] [analyse du scrutin],2014
928,21/10/2014,le projet de loi de programmation des finances publiques 2014-2019 [dossier] [analyse du scrutin],2014
913,14/10/2014,l'ensemble du projet de loi relatif à la transition énergétique pour la croissance verte (première lecture). [dossier] [analyse du scrutin],2014
901,17/09/2014,l'ensemble du projet de loi relatif à l'adaptation de la société au vieillissement. [dossier] [analyse du scrutin],2014
897,23/07/2014,"l'ensemble du projet de loi relatif à la délimitation des régions, aux élections régionales et départementales et modifiant le calendrier électoral [dossier] [analyse du scrutin]",2014
867,08/07/2014,l'ensemble du projet de loi de financement rectificative de la sécurité sociale pour 2014 (première lecture). [dossier] [analyse du scrutin],2014
848,01/07/2014,l'ensemble du projet de loi de finances rectificative pour 2014 (première lecture). [dossier] [analyse du scrutin],2014
840,24/06/2014,la proposition de loi organique relative à la nomination des dirigeants de la SNCF. [dossier] [analyse du scrutin],2014
839,24/06/2014,le projet de loi portant réforme ferroviaire [dossier] [analyse du scrutin],2014
834,17/06/2014,la proposition de résolution relative au maintien d'une administration et de politiques publiques dédiées aux Français rapatriés d'outre-mer pour prendre en compte leurs ultimes et légitimes attentes. [dossier] [analyse du scrutin],2014
809,10/06/2014,l'ensemble du projet de loi relatif à la prévention de la récidive et à l'individualisation des peines. [dossier] [analyse du scrutin],2014
789,20/05/2014,l'ensemble du projet de loi relatif à l'économie sociale et solidaire (première lecture). [dossier] [analyse du scrutin],2014
781,25/02/2014,l'ensemble de la proposition de loi visant à renforcer la responsabilité des maîtres d'ouvrage et des donneurs d'ordre dans le cadre de la sous-traitance et à lutter contre le dumping social et la concurrence déloyale. [dossier] [analyse du scrutin],2014
780,19/02/2014,l'ensemble du projet de loi pour l'accès au logement et un urbanisme rénové (texte de la commission mixte paritaire). [dossier] [analyse du scrutin],2014
778,18/02/2014,"l'ensemble du projet de loi relatif à l'artisanat, au commerce et aux très petites entreprises. [dossier] [analyse du scrutin]",2014
773,28/01/2014,la proposition de loi constitutionnelle visant à ratifier la Charte européenne des langues régionales ou minoritaires (première lecture). [dossier] [analyse du scrutin],2014
772,28/01/2014,l'ensemble du projet de loi pour l'égalité entre les femmes et les hommes (première lecture). [dossier] [analyse du scrutin],2014
768,22/01/2014,l'ensemble du projet de loi interdisant le cumul de fonctions exécutives locales avec le mandat de représentant au Parlement européen (lecture définitive). [dossier] [analyse du scrutin],2014
767,22/01/2014,l'ensemble du projet de loi organique interdisant le cumul de fonctions exécutives locales avec le mandat de député ou de sénateur (lecture définitive). [dossier] [analyse du scrutin],2014
764,14/01/2014,"l'ensemble du projet de loi d'avenir pour l'agriculture, l'alimentation et la forêt. [dossier] [analyse du scrutin]",2014
744,10/12/2013,l'ensemble du projet de loi de finances rectificative pour 2013 (première lecture). [dossier] [analyse du scrutin],2013
737,04/12/2013,l'ensemble de la proposition de loi renforçant la lutte contre le système prostitutionnel (première lecture). [dossier] [analyse du scrutin],2013
