MP,Expected_Direct_Influence,Estimated_2_Waves_Influence_2,wave2se_2,Estimated_2_Waves_Influence_10,wave2se_10,Estimated_2_Waves_Influence_25,wave2se_25,Estimated_2_Waves_Influence_50,wave2se_50,Estimated_2_Waves_Influence_100,wave2se_100
Anne-Yvonne Le Dain,278.293650793651,634.7,0.2846049894151541,626.2,0.44271887242357305,594.9,3.8998717927644746,391.0,2.0784609690826525,362.6,1.6012495120998473
Annick Girardin,139.53968253968242,633.3,0.4701063709417263,617.0,0.4898979485566356,575.2,5.11233801699379,354.8,3.5065652710308983,162.2,15.712924616378709
Annick Le Loch,294.5238095238096,634.9,0.09486832980505139,626.5,0.25495097567963926,606.3,1.816865432551349,408.4,2.6802984908401526,369.9,1.4103191128251786
Annick Lepetit,295.5793650793649,634.7,0.14491376746189438,627.3,0.40124805295477756,602.2,1.9738287666360523,398.1,1.7745421944828472,365.4,2.0552372125864204
Annie Genevard,210.60317460317495,632.4,0.28982753492378877,611.5,1.002496882788171,542.0,5.632051136131489,276.6,2.691468000924402,255.1,2.342861498253791
Annie Le Houerou,297.12698412698387,634.6,0.20976176963403032,627.7,0.4909175083453429,610.2,1.2712198865656563,418.5,5.020458146424487,368.9,1.711432148815722
Antoine Herth,220.40476190476272,633.0,0.4898979485566356,611.4,0.8148619514985345,555.2,4.31462628740891,287.2,6.30682170352072,260.4,1.8011107683871082
Arlette Grosskost,215.42857142857224,632.8,0.34058772731852804,612.4,1.4366627996854375,553.8,5.394070818964096,285.4,5.026330669583926,260.4,2.804282439412977
Armand Jung,248.10317460317444,634.4,0.2097617696340303,625.0,0.6164414002968975,547.2,12.859082393390283,384.0,2.4124676163629637,347.1,1.0530906893520613
Arnaud Leroy,267.6190476190466,634.2,0.18973665961010278,626.0,0.2449489742783178,565.7,7.15548740478243,389.5,2.8328430948430587,351.5,1.9710403344427023
Arnaud Richard,190.3730158730161,633.6,0.4049691346263317,613.8,0.6292853089020909,580.8,2.5447986167867978,399.9,18.111570887142836,266.5,3.9198214245039273
Arnaud Robinet,219.68253968254072,633.1,0.5735852159879994,612.9,0.6549809157525125,566.1,2.632299375071156,296.9,4.938522046118656,260.8,1.8209887424144058
Arnaud Viala,54.76984126984132,619.4,1.9909796583591703,481.0,29.3288254111889,227.7,7.251275749824991,53.7,0.970051545022222,52.9,2.7908779980500755
Ary Chalus,252.45238095238057,635.0,0.0,626.9,0.41109609582188933,608.1,1.071914175668929,508.7,11.957466286801731,373.1,2.2156263222845136
Audrey Linkenheld,302.1904761904762,634.8,0.12649110640673517,627.6,0.2898275349237887,605.0,2.424871130596428,407.2,3.3280624994131345,367.5,2.1552262062252305
Aurélie Filippetti,73.69047619047633,630.7,0.5486346689738081,550.7,14.263975602895568,345.9,5.016871535130234,191.5,27.806563973277964,75.2,3.3190360046254392
Avi Assouly,163.57142857142836,632.8,0.30983866769659335,609.0,3.6851051545376556,405.0,4.580392996239515,349.7,1.4835767590522573,306.9,1.8571483516402234
Axel Poniatowski,221.8730158730167,633.3,0.20248456731316586,613.5,0.6964194138592059,566.4,2.182658928921328,289.7,4.226227632298099,264.5,2.987473849257931
Axelle Lemaire,158.7619047619046,632.5,0.291547594742265,617.9,1.359779393872403,398.5,5.024440267333268,351.9,1.9720547659738052,291.8,6.138077875035473
Barbara Pompili,217.0952380952393,634.0,0.19999999999999998,624.6,0.4289522117905443,588.3,7.362132843137237,386.5,2.943637205907005,345.2,2.352870587176439
Barbara Romagnan,254.65873015873015,634.2,0.18973665961010278,625.5,0.35355339059327373,559.9,7.965488057865631,385.4,2.40083318870762,350.7,1.9547378340841515
Benoist Apparu,217.936507936509,633.9,0.41109609582188933,614.5,0.5700877125495689,565.5,2.0988091861815352,302.5,7.0245996327192906,268.2,2.701110882581461
Benoît Hamon,89.19841269841292,631.2,0.41952353926806063,570.0,10.696728471827262,359.6,1.517893276880822,290.8,11.09035617101633,90.7,2.107368026710095
Bernadette Laclais,300.7142857142857,634.9,0.09486832980505139,627.4,0.4049691346263317,605.4,2.9637813684548324,414.0,3.660601043544625,365.7,1.7032322213955442
Bernard Accoyer,226.92063492063545,632.4,0.35213633723318016,612.5,0.552268050859363,549.7,6.739510367971844,282.0,1.3564659966250536,262.3,1.4356183336806476
Bernard Brochand,222.81746031746079,633.0,0.4242640687119285,611.5,0.7648529270389176,545.8,4.253939350766533,279.1,3.342005385992069,259.9,1.946535383701
Bernard Debré,219.01587301587395,632.6,0.45166359162544856,612.5,0.9924716620639602,554.1,7.38708332158234,308.9,12.86425279602356,264.6,2.084226475218084
Bernard Deflesselles,225.4444444444449,632.9,0.35916569992135944,612.5,0.6670832032063166,552.4,4.635083602266522,294.5,5.704822521341045,261.0,1.9287301521985911
Bernard Gérard,211.61904761904816,632.1,0.43474130238568315,610.6,1.1593101396951548,547.4,5.704734875522261,276.8,3.1805659873676566,257.8,1.4338758663147935
Bernard Lesterlin,303.174603174603,634.8,0.12649110640673517,627.4,0.28982753492378877,607.2,1.5152557539900646,418.6,7.622597982315478,368.1,1.359779393872403
Bernard Perrut,214.29365079365093,632.3,0.3754996671103717,608.7,1.5300326793895611,529.2,14.806620141004492,279.7,3.7203494459526243,255.7,1.7381024135533554
Bernard Reynès,210.9126984126991,633.3,0.4909175083453429,611.1,0.5186520991955976,548.4,7.956381086901255,279.8,1.74241212116996,261.4,1.6260381299342275
Bernard Roman,272.7698412698415,634.7,0.20248456731316586,627.0,0.19999999999999998,575.7,9.885393264812482,399.3,2.6871918427979793,356.3,1.2087183294713453
Bertrand Pancher,190.8412698412695,633.7,0.28460498941515416,617.7,0.7880355321938218,591.5,0.85146931829632,487.1,16.643587353692713,253.7,8.015048346703843
Boinali Said,277.65873015873063,634.6,0.15491933384829668,626.5,0.4527692569068708,597.4,3.2899848023965093,402.4,2.015936506936664,362.1,1.8080376102282827
Brigitte Allain,230.47619047619116,634.7,0.14491376746189438,625.5,0.4743416490252569,575.5,5.692538976590322,390.4,2.8361946336596855,352.3,2.1496511344867097
Brigitte Bourguignon,301.92063492063465,634.8,0.12649110640673517,627.5,0.291547594742265,594.0,4.328972164382672,397.8,1.4615060725156086,361.0,1.3038404810405297
Bruno Le Maire,204.59523809523859,632.3,0.47010637094172625,611.0,1.1401754250991378,546.3,5.26317394734394,276.2,1.7076299364909246,251.5,2.5816661286851175
Bruno Le Roux,312.6031746031748,634.6,0.15491933384829668,627.2,0.2756809750418044,606.5,2.5816661286851175,414.7,4.422781929962182,369.5,1.6507574019219178
Bruno Nestor Azerot,199.35714285714317,634.8,0.12649110640673517,623.7,0.5839520528262572,601.3,1.0867382389517724,480.3,13.072145960017428,343.5,4.1140004861448425
Béatrice Santais,301.7936507936508,634.8,0.12649110640673517,627.4,0.322490309931942,604.5,3.030676492138347,405.6,3.037103883636514,367.8,1.5414279094398153
Bérengère Poletti,216.000000000001,632.8,0.5621387729022077,614.1,0.6549809157525127,558.2,2.8277199295545516,312.3,10.970004557884195,265.6,2.421569738826449
Camille de Rocca Serra,227.96825396825452,633.5,0.291547594742265,613.0,0.5477225575051661,564.5,4.3040678433314685,308.4,6.810580004669205,262.5,1.8986837546047524
Carlos Da Silva,284.26984126984155,634.4,0.2097617696340303,626.7,0.40124805295477756,602.0,3.8340579025361623,405.7,6.865930381237491,365.2,1.7933209417167917
Carole Delga,217.35714285714303,634.6,0.15491933384829668,625.3,0.600832755431992,547.4,10.338471840654208,378.7,1.5687574701017362,341.6,2.502798433753705
Catherine Beaubatie,307.18253968253975,634.8,0.12649110640673517,627.3,0.3478505426185217,610.1,1.5965587994182988,408.3,4.576133739304392,366.0,1.6431676725154982
Catherine Coutelle,274.5158730158729,634.8,0.12649110640673517,626.2,0.44271887242357305,597.8,1.932873508535931,391.1,1.7346469381404388,358.1,1.5839823231336894
Catherine Lemorton,297.8492063492063,634.7,0.14491376746189438,627.2,0.3098386676965933,608.2,1.9788885769542457,403.2,2.134478859112922,367.3,2.0250925904758037
Catherine Quéré,305.72222222222234,634.9,0.09486832980505139,627.1,0.2626785107312739,603.0,5.276362383309167,408.7,3.0134697609234444,368.0,1.8973665961010275
Catherine Troallic,306.24603174603163,634.7,0.20248456731316586,627.1,0.29832867780352595,607.6,1.49799866488592,412.9,4.003623358908777,367.7,1.3494443300855354
Catherine Vautrin,206.86507936508,632.4,0.6033241251599342,610.5,0.6964194138592059,528.6,8.913136372792687,278.8,2.239642828667107,258.6,1.6923356641044942
Chantal Berthelot,303.34920634920644,634.8,0.12649110640673517,627.4,0.35213633723318016,603.4,3.5162480003549237,415.4,3.219316697686016,368.5,1.1937336386313322
Chantal Guittet,283.75396825396825,634.9,0.09486832980505139,626.4,0.25298221281347033,607.7,1.6251153805191803,403.2,1.7424121211699601,366.5,1.7507141400011594
Charles de Courson,191.32539682539647,633.9,0.3301514803843836,616.8,0.7183313998427188,588.3,1.342013412749664,470.7,11.842339295933044,261.0,5.130302135352264
Charles de la Verpillière,210.5158730158734,632.2,0.2756809750418044,609.9,1.6028100324118262,540.5,7.833581556350836,277.0,2.9051678092667896,257.0,1.8110770276274832
Charles-Ange Ginesy,220.5238095238103,632.8,0.2756809750418044,612.7,0.883742043811428,562.1,3.4769239278419652,286.4,3.2808535474781557,268.5,1.1683321445547923
Chaynesse Khirouni,304.35714285714295,634.9,0.09486832980505139,627.1,0.4785394445602159,606.5,2.1083168642308014,406.4,2.9570255325241948,369.3,1.8441800345953212
Christian Assaf,284.8492063492065,634.8,0.12649110640673517,627.3,0.20248456731316586,603.9,3.758856209008267,410.7,4.505663103251285,367.7,1.9444793647657976
Christian Bataille,272.5158730158728,634.9,0.09486832980505139,627.5,0.3807886552931954,595.7,6.253079241461761,402.0,1.9287301521985911,361.2,1.7017637908946115
Christian Eckert,149.4841269841266,632.2,0.5059644256269407,598.8,4.74510273861378,387.2,3.6709671750098773,341.8,1.4268847185389575,279.6,14.1528795656573
Christian Estrosi,183.19841269841316,632.5,0.35355339059327373,608.7,0.9803060746521975,515.8,15.281230316960738,274.5,1.5508062419270823,249.2,1.9788885769542455
Christian Franqueville,298.6507936507936,634.7,0.14491376746189438,626.9,0.3301514803843836,595.4,3.7475325215400064,401.0,3.218695387886216,363.1,1.2763228431709588
