,Gérard Bapt,Christian Bataille,Patrick Bloche,Jean-Christophe Cambadélis,Laurent Cathala,Jean-Paul Chanteguet,Guy-Michel Chauveau,Jean-Louis Destans,Michel Destot,René Dosière,Jean-Louis Dumont,Laurence Dumont,Yves Durand,Henri Emmanuelli,Michel Françaix,Gilbert Le Bris,Jean-Yves Le Déaut,François Loncle,Alain Rodet,René Rouquet,Daniel Vaillant,Michel Vauzelle,François Lamy,Philip Cordery,Marylise Lebranchu,Yves Goasdoué,Monique Rabin,Frédérique Massat,Vincent Burroni,Frédéric Cuvillier,Luce Pane,Gisèle Biémouret,Laurent Baumel,Michel Vergnier,Jean Glavany,Serge Janquin,Élisabeth Guigou,Guillaume Garot,Éric Jalton,Michel Pajon,Marie-Arlette Carlotti,Jean-Paul Bacquet,Dominique Baert,Jean-Pierre Blazy,Daniel Boisserie,Christophe Caresche,Alain Claeys,Marie-Françoise Clergeau,Jean-Pierre Dufau,Jean-Paul Dupré,Philippe Duron,Christian Franqueville,Yann Galut,Françoise Imbert,Conchita Lacuey,Bruno Le Roux,Michel Liebgott,Martine Lignières-Cassou,Philippe Nauche,Christian Paul,Germinal Peiro,Jean-Claude Perez,Marcel Rogemont,Bernard Roman,Pascal Terrasse,François de Rugy,Fabrice Verdier,Patrick Lemasle,Christian Assaf,Sylviane Alaux,Philippe Martin,Richard Ferrand,Yann Capet,Corinne Erhel,Christophe Léonard,Erwann Binet,Jean Launay,Jean-Yves Caullet,Brigitte Bourguignon,Nicolas Bays,Philippe Baumel,Dominique Raimbourg,Martine Carrillon-Couvreur,Kléber Mesquida,Patricia Adam,Jean-Yves Le Bouillonnec,Annick Lepetit,Gabrielle Louis-Carabin,Victorin Lurel,David Habib,Kader Arif,Gwendal Rouillard,William Dumas,Jean-Louis Bricout,Aurélie Filippetti,Geneviève Fioraso,Martine Martinel,Monique Iborra,Michel Issindou,Pascal Deguilhem,Christian Hutin,Guy Chambefort,Bernard Lesterlin,Olivier Dussopt,Daniel Goldberg,Marietta Karamanli,Jean-Michel Villaumé,Guy Delcourt,Valérie Fourneyron,Marc Goua,Jacques Valax,Michèle Delaunay,Sandrine Mazetier,Pascale Got,Pierre-Alain Muet,Jean-Louis Touraine,Jean Grellier,Christophe Bouillon,Martine Faure,Alain Rousset,Pascale Crozon,Catherine Quéré,Marie-Odile Bouillé,Catherine Lemorton,Marie-Lou Marcel,Serge Letchimy,Chantal Berthelot,Henri Jibrayel,Philippe Plisson,Régis Juanico,Jean-Louis Gagnaire,Annick Le Loch,Jean-René Marsac,Michel Ménard,Jean-Jacques Cottel,Olivier Faure,François Pupponi,Colette Langlade,Marie-Noëlle Battistel,Marie-Françoise Bechtel,Gilbert Sauvan,Christophe Castaner,Karine Berger,François-Michel Lambert,Jean-David Ciot,Sabine Buis,Alain Fauré,Marie-Hélène Fabre,Patrick Mennucci,Kheira Bouziane-Laroussi,Viviane Le Dissez,Annie Le Houerou,Laurent Grandguillaume,Alain Calmette,Patrice Prat,Christophe Cavard,Éric Alauzet,Nathalie Nieson,Jean-Luc Bleunven,Chantal Guittet,Sandrine Doucet,Anne-Yvonne Le Dain,Fanny Dombre Coste,Frédéric Roig,Marie Récalde,Florent Boudié,Christophe Borgel,Joëlle Huillier,Sébastien Denaja,Patrick Vignal,Marie-Anne Chapdelaine,Nathalie Appéré,Isabelle Bruneau,Valérie Corre,Lucette Lousteau,Luc Belot,Yves Daniel,Sophie Errante,Hervé Pellois,Jean-Pierre Le Roch,Stéphane Travert,Chaynesse Khirouni,Dominique Potier,Jean-Pierre Allossery,Laurent Kalinowski,Paola Zanetti,Audrey Linkenheld,Rémi Pauvros,Christine Pires Beaune,Nathalie Chabanne,Yves Blein,Edith Gueugneau,Cécile Untermaier,Pascal Cherki,Françoise Dubois,Béatrice Santais,Bernadette Laclais,Seybah Dagoma,Catherine Troallic,Eduardo Rihan Cypel,Sylviane Bulteau,Hugues Fourage,Françoise Descamps-Crosnier,Valérie Rabault,Michèle Fournier-Armand,Alexis Bachelay,Maud Olivier,Véronique Massonneau,Catherine Beaubatie,Jean-Jacques Bridey,Julie Sommaruga,Mathieu Hanotin,Razzy Hammadi,Pascal Popelin,Serge Bardy,Philippe Bies,Philippe Kemel,Emeric Bréhier,Boinali Said,Jean-Claude Buisine,Sébastien Pietrasanta,Dominique Lefebvre,Jean-Marc Germain,Jean Jacques Vlody,Monique Orphé,Michel Pouzol,Joaquim Pueyo,Colette Capdevielle,Arnaud Leroy,Pierre-Yves Le Borgn',Guillaume Bachelay,Sylvie Tolmont,Frédéric Barbier,Jean-Marie Beffara,Carlos Da Silva,Florence Delaunay,Napole Polutele,Delphine Batho,Robert Olive,Christophe Premat,Jean-Marc Fournel,Anne-Christine Lang,Romain Colas,Pascal Demarthe,Régine Povéda,Guy Bailliart,David Comet,Pierre Ribeaud,Marie Le Vern,Marie-Thérèse Le Roy,Philippe Naillet,Jacques Dellerie,Renaud Gauquelin,Romain Joron,Karine Daniel,Éric Elkouby,Patrick Balkany,Jean-Michel Couve,Olivier Dassault,Bernard Debré,Patrick Devedjian,François Fillon,Denis Jacquat,Christian Kert,Marc Laffineur,Pierre Lequiller,Jean-François Mancel,Alain Marleix,Jean-Claude Mignon,Alain Moyne-Bressand,Patrick Ollier,Jean-Luc Reitzer,Michel Terrot,Michel Voisin,Nicole Ameline,Dominique Bussereau,Marc-Philippe Daubresse,Bernard Perrut,Camille de Rocca Serra,Guénhaël Huet,Christophe Guilloteau,Gilles Lurton,Éric Ciotti,Bernard Accoyer,Gérard Cherpion,François Cornut-Gentille,Lucien Degauchy,Alain Gest,Jean-Jacques Guillet,Philippe Houillon,Patrick Labaune,Thierry Lazaro,Marc Le Fur,Thierry Mariani,Hervé Mariton,Philippe Armand Martin,Patrice Martin-Lalande,Yves Nicolin,Jacques Pélissard,Alain Suguenot,François Vannson,Henri Guaino,Dominique Dord,Philippe Goujon,Claude Goasguen,Gilles Carrez,Hervé Gaymard,Isabelle Le Callennec,Benoist Apparu,Christian Jacob,Gérard Menuel,Jean-François Copé,Catherine Vautrin,Jean-Luc Warsmann,Franck Marlin,Olivier Marleix,Yves Fromion,Jean-Pierre Giran,Jean-Claude Guibal,Michel Herbillon,Jacques Kossowski,Jean Leonetti,Lionnel Luca,Didier Quentin,Thierry Solère,Marie-Jo Zimmermann,Pierre Morel-À-L'Huissier,Pierre Morange,Bernard Deflesselles,Patrice Verchère,Bernard Brochand,Edouard Philippe,Dominique Tian,Michel Sordi,Céleste Lett,Jean-Pierre Gorges,Luc Chatel,Sébastien Huyghe,Jean-Marie Sermier,Arlette Grosskost,Michel Heinrich,Bérengère Poletti,Yves Censi,Jean-Pierre Door,Damien Meslot,Antoine Herth,Jean-Louis Christ,Geneviève Levy,Dino Cinieri,Claude Greff,Philippe Vitel,Martial Saddier,Alain Marty,Marcel Bonnot,Josette Pons,Christophe Priou,Édouard Courtial,Jean-Pierre Decool,Philippe Cochet,Michèle Tabarot,Guy Geoffroy,Jacques Alain Bénisti,Axel Poniatowski,Jérôme Chartier,Serge Grouard,Jean-Claude Mathis,François Scellier,Jean-Charles Taugourdeau,Jean-Sébastien Vialatte,Frédéric Reiss,Nathalie Kosciusko-Morizet,Virginie Duby-Muller,Marc Francina,Laurent Wauquiez,Charles-Ange Ginesy,Damien Abad,Bernard Gérard,Charles de la Verpillière,Jacques Lamblin,Olivier Carré,Daniel Fasquelle,Nicolas Dhuicq,Lionel Tardy,Jean-Claude Bouchet,Franck Riester,Yves Albarello,Éric Straumann,Xavier Breton,Marie-Louise Fort,Jean-François Lamour,Philippe Gosselin,Françoise Guégot,Marie-Christine Dalloz,Philippe Meunier,Laure de La Raudière,Rémi Delatte,Valérie Boyer,Bernard Reynès,Sauveur Gandolfi-Scheit,Marianne Dubois,Arnaud Robinet,Annie Genevard,David Douillet,Fernand Siré,Paul Salen,Laurent Furst,Yves Foulon,Jean-Pierre Barbier,Claude de Ganay,Jean-Pierre Vigier,Philippe Le Ray,Véronique Louwagie,Alain Chrétien,Dominique Nachury,Patrick Hetzel,Claude Sturni,Sophie Dion,François de Mazières,Valérie Lacroute,Alain Leboeuf,Yannick Moreau,Jean-Marie Tétart,Olivier Audibert Troin,Guillaume Larrivé,Laurent Marcangeli,Julien Aubert,Guillaume Chevrollier,Sophie Rohfritsch,Daniel Gibbes,Claudine Schmid,Élie Aboud,Sylvain Berrios,Frédéric Lefebvre,Jean-Louis Costes,Laurence Arribagé,Arnaud Viala,Julien Dive,Vincent Ledoux,Pascal Thévenot,Marine Brenier,Stéphanie Pernod Beaudon,Hervé Morin,François Rochebloine,Rudy Salles,André Santini,Yannick Favennec Becot,Charles de Courson,François Sauvadet,Arnaud Richard,Maurice Leroy,Francis Hillmeyer,Stéphane Demilly,Michel Piron,Francis Vercamer,François-Xavier Villain,Philippe Vigier,Bertrand Pancher,Franck Reynier,Thierry Benoit,Sonia Lagarde,Philippe Gomès,Jonas Tahuaitu,Jean-Paul Tuaiva,Meyer Habib,Laurent Degallaix,Maina Sage,Patrick Weiten,Jacques Bompard,Sylvie Andrieux,Gilbert Collard,Marion Maréchal-Le Pen,Jérôme Lambert,Roger-Gérard Schwartzenberg,Stéphane Saint-André,Alain Tourret,Joël Giraud,Dominique Orliac,Sylvia Pinel,Jacques Krabal,Jeanine Dubié,Jean-Noël Carpentier,Ary Chalus,Jean-Pierre Maggi,Gilda Hobert,Stéphane Claireaux,Marc Dolez,Huguette Bello,Jean-Philippe Nilor,Bruno Nestor Azerot,Jean-Luc Laurent,Suzanne Tallard,Barbara Romagnan,Denys Robiliard,Linda Gourjade,Gérard Sebaoun,Fanélie Carrey-Conte,Jean-Frédéric Poisson,Noël Mamère,Danielle Auroi,Sergio Coronado,Isabelle Attard,Jean-Louis Roumégas,Philippe Noguès,Cécile Duflot,Eva Sas,Laurence Abeille,Michèle Bonneton,Pouria Amirshahi,François Asensi,Alain Bocquet,Jacqueline Fraysse,Marie-George Buffet,Patrice Carvalho,André Chassaigne,Jean-Jacques Candelier,Jean-Patrick Gille,Jean Lassalle,Nicolas Sansu,Gaby Charroux,Claude Bartolone
Gérard Bapt,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Bataille,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Bloche,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Christophe Cambadélis,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurent Cathala,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Paul Chanteguet,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guy-Michel Chauveau,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Louis Destans,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
