;@xsi:type;uid[1];codeType[1];libelle[1];libelleEdition[1];libelleAbrege[1];libelleAbrev[1];viMoDe[1];viMoDe[1]/dateDebut[1];viMoDe[1]/dateAgrement[1];viMoDe[1]/dateFin[1];regimeJuridique[1];regime[1];legislature[1];secretariat[1];secretariat[1]/secretaire01[1];secretariat[1]/secretaire02[1];positionPolitique[1]
;OrganeParlementaire_Type;PO685596;CNPE;Commission d'enquête sur le fonctionnement des services de renseignement français dans le suivi et la surveillance des mouvements radicaux armés;de la commission d'enquête sur le fonctionnement des services de renseignement français dans le suivi et la surveillance des mouvements radicaux armés;Commission d'enquête sur les services de renseignement;CESERVRENS;;2012-12-06;;2013-05-24;;5ème République;14;;M. Jean-Éric Lebelt;;
;OrganeExterne_Type;PO684942;PARPOL;Union pour un Mouvement Populaire;Union pour un Mouvement Populaire;Union pour un Mouvement Populaire;UMP;;;;2015-11-30;;;;;;;
;OrganeExterne_Type;PO685809;PARPOL;Calédonie Ensemble;Calédonie Ensemble;Calédonie Ensemble;CAL;;;;;;;;;;;
;OrganeExterne_Type;PO685813;PARPOL;Cap sur l'avenir;Cap sur l'avenir;Cap sur l'avenir;CAP;;;;;;;;;;;
;OrganeExterne_Type;PO685817;PARPOL;Debout la République;Debout la République;Debout la République;DLR;;;;2015-11-30;;;;;;;
;OrganeExterne_Type;PO685821;PARPOL;Démocratie et République;Démocratie et République;Démocratie et République;DER;;;;;;;;;;;
;OrganeExterne_Type;PO685844;PARPOL;Forces de Gauche;Forces de Gauche;Forces de Gauche;FDG;;;;;;;;;;;
;OrganeExterne_Type;PO685890;PARPOL;Parti communiste guadeloupéen;Parti communiste guadeloupéen;Parti communiste guadeloupéen;PCG;;;;;;;;;;;
;OrganeExterne_Type;PO685851;PARPOL;Guadeloupe unie Socialisme et réalités;Guadeloupe unie Socialisme et réalités;Guadeloupe unie Socialisme et réalités;GUSR;;;;;;;;;;;
;OrganeExterne_Type;PO685864;PARPOL;Mouvement Indépendantiste Martiniquais;Mouvement Indépendantiste Martiniquais;Mouvement Indépendantiste Martiniquais;MIM;;;;;;;;;;;
;OrganeExterne_Type;PO685868;PARPOL;Mouvement Initiative populaire;Mouvement Initiative populaire;Mouvement Initiative populaire;MIP;;;;;;;;;;;
;OrganeExterne_Type;PO685872;PARPOL;Association PSLE - Nouveau Centre;Association PSLE - Nouveau Centre;Association PSLE - Nouveau Centre;NC;;;;;;;;;;;
;OrganeExterne_Type;PO685859;PARPOL;Indépendants de la France de métropole et d'outre-Mer;Indépendants de la France de métropole et d'outre-Mer;Indépendants de la France de métropole et d'outre-Mer;IFMO;;;;;;;;;;;
;OrganeExterne_Type;PO685893;PARPOL;Parti progressiste martiniquais;Parti progressiste martiniquais;Parti progressiste martiniquais;PPM;;;;;;;;;;;
;OrganeParlementaire_Type;PO686292;GE;Îles d'Amérique du Nord et Clipperton;Îles d'Amérique du Nord et Clipperton;Îles d'Amérique du Nord et Clipperton;ÎLES AMERI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeExterne_Type;PO686029;PARPOL;Pour la Réunion;Pour la Réunion;Pour la Réunion;PLR;;;;;;;;;;;
;OrganeExterne_Type;PO686032;PARPOL;Tahoeraa Huiraatira;Tahoeraa Huiraatira;Tahoeraa Huiraatira;TH;;;;;;;;;;;
;OrganeExterne_Type;PO686037;PARPOL;La politique autrement;La politique autrement;La politique autrement;UMM;;;;;;;;;;;
;OrganeParlementaire_Type;PO686188;GE;Aménagement du territoire;Aménagement du territoire;Aménagement du territoire;AMENAGEMEN;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686196;GE;Amiante;Amiante;Amiante;AMIANTE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686204;GE;Automobile;Automobile;Automobile;AUTOMOBILE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686213;GE;Biocarburants;Biocarburants;Biocarburants;BIOCARBURA;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686223;GE;Cancer;Cancer;Cancer;CANCER;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686232;GE;Coordination des droits européens;Coordination des droits européens;Coordination des droits européens;COORDINATI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686241;GE;Diversité et discriminations liées à l'origine;Diversité et discriminations liées à l'origine;Diversité et discriminations liées à l'origine;DIVERSITE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686249;GE;Économie verte et économie circulaire;Économie verte et économie circulaire;Économie verte et économie circulaire;ECONOMIE V;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686258;GE;Élevage;Élevage;Élevage;ÉLEVAGE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686275;GE;Gaz de schiste;Gaz de schiste;Gaz de schiste;GAZ DE SCH;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686266;GE;Formation alternée en milieu rural;Formation alternée en milieu rural;Formation alternée en milieu rural;FORMATION;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686284;GE;Granit, pierres naturelles, carrières et matériaux de construction;Granit, pierres naturelles, carrières et matériaux de construction;Granit, pierres naturelles, carrières et matériaux de construction;GRANIT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeExterne_Type;PO686026;PARPOL;Parti socialiste guyanais;Parti socialiste guyanais;Parti socialiste guyanais;PSG;;;;;;;;;;;
;OrganeParlementaire_Type;PO686317;GE;Industrie chimique;Industrie chimique;Industrie chimique;INDUSTRIE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686326;GE;Maladies orphelines;Maladies orphelines;Maladies orphelines;MALADIES;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686337;GE;Mer, pêche et souveraineté maritime;Mer, pêche et souveraineté maritime;Mer, pêche et souveraineté maritime;MER PÊCHE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686346;GE;Patrimoine;Patrimoine;Patrimoine;PATRIMOINE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686301;GE;Illettrisme;Illettrisme;Illettrisme;ILLETTRISM;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686310;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi relatif à la création de la Banque publique d'investissement;du projet de loi relatif à la création de la Banque publique d'investissement;BPI;298;;2012-12-12;;2012-12-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686372;GE;Pénibilité du travail, santé au travail et maladies professionnelles;Pénibilité du travail, santé au travail et maladies professionnelles;Pénibilité du travail, santé au travail et maladies professionnelles;PÉNIBILITÉ;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686380;GE;Peuple tamoul;Peuple tamoul;Peuple tamoul;PEUPLE TAM;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686389;GE;Politique aéroportuaire;Politique aéroportuaire;Politique aéroportuaire;POL AÉRO;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686406;GE;Préservation et reconquête de la biodiversité;Préservation et reconquête de la biodiversité;Préservation et reconquête de la biodiversité;BIODIVERS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686397;GE;Politique de l'eau;Politique de l'eau;Politique de l'eau;POL EAU;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686415;GE;Presse;Presse;Presse;PRESSE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686354;GE;Pêche de loisir et protection du milieu aquatique;Pêche de loisir et protection du milieu aquatique;Pêche de loisir et protection du milieu aquatique;PÊCHE LOIS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686424;GE;Prisons et conditions carcérales;Prisons et conditions carcérales;Prisons et conditions carcérales;PRISONS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686433;GE;Produire en France;Produire en France;Produire en France;PRODUIRE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686442;GE;Protection des animaux;Protection des animaux;Protection des animaux;PROTEC ANI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686451;GE;Protection et développement du littoral;Protection et développement du littoral;Protection et développement du littoral;PROTEC LIT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686459;GE;Santé à l'école;Santé à l'école;Santé à l'école;SANTÉ ECOL;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686468;GE;Sida;Sida;Sida;SIDA;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686534;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi relatif à la retenue pour vérification du droit au séjour et modifiant le délit d'aide au séjour irrégulier pour en exclure les actions humanitaires et désintéressées;du projet de loi relatif à la retenue pour vérification du droit au séjour et modifiant le délit d'aide au séjour irrégulier pour en exclure les actions humanitaires et désintéressées;Retenue des étrangers;351;;2012-12-12;;2012-12-19;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686485;GE;Statut des travailleurs mobiles en Europe;Statut des travailleurs mobiles en Europe;Statut des travailleurs mobiles en Europe;TRAVAILLEU;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686493;GE;Surendettement;Surendettement;Surendettement;SURENDETTE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686501;GE;Tourisme;Tourisme;Tourisme;TOURISME;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686510;GE;Trufficulture;Trufficulture;Trufficulture;TRUFFICULT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686519;GE;Voies navigables et transports multimodaux/canaux;Voies navigables et transports multimodaux/canaux;Voies navigables et transports multimodaux/canaux;VOIES NAVI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686528;GE;Zones et travailleurs frontaliers;Zones et travailleurs frontaliers;Zones et travailleurs frontaliers;ZONES FRON;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686477;GE;Sidérurgie et fonderie;Sidérurgie et fonderie;Sidérurgie et fonderie;SIDÉRURGIE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686627;GE;Question du Tibet;Question du Tibet;Question du Tibet;QUESTTIBET;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686767;GE;Artisanat et métiers d'art;Artisanat et métiers d'art;Artisanat et métiers d'art;ARTISANAT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686749;GE;Montagne;Montagne;Montagne;MONTAGNE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686776;GE;Cheval;Cheval;Cheval;CHEVAL;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686793;GE;Enjeux du vieillissement;Enjeux du vieillissement;Enjeux du vieillissement;ENJVIEILLI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686785;GE;Commerce et artisanat;Commerce et artisanat;Commerce et artisanat;COMMERCE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686758;GE;Arctique, Antarctique et Terres australes et antarctiques françaises;Arctique, Antarctique et Terres australes et antarctiques françaises;Arctique, Antarctique et Terres australes et antarctiques françaises;ARCTIQUE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686605;GE;Intégration des personnes handicapées;Intégration des personnes handicapées;Intégration des personnes handicapées;INTPERSHAN;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686589;GE;Industrie aéronautique;Industrie aéronautique;Industrie aéronautique;INDAERO;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686541;GE;Climatisme et thermalisme;Climatisme et thermalisme;Climatisme et thermalisme;CLIMTHERM;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686577;GE;Economie sociale et solidaire;Economie sociale et solidaire;Economie sociale et solidaire;ECOSOCSOL;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686617;GE;Politiques de la ruralité;Politiques de la ruralité;Politiques de la ruralité;POLRURAL;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686802;GE;Enseignement privé sous contrat et hors contrat;Enseignement privé sous contrat et hors contrat;Enseignement privé sous contrat et hors contrat;ENSEIGNEME;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687087;GE;Cinéma et production audiovisuelle;Cinéma et production audiovisuelle;Cinéma et production audiovisuelle;CIN;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687076;GE;Autisme;Autisme;Autisme;AUT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686896;GE;Tauromachie;Tauromachie;Tauromachie;TAUROMACHI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686826;GE;Îles anglo-normandes;Îles anglo-normandes;Îles anglo-normandes;ÎLES ANGLO;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687066;GE;Assurances;Assurances;Assurances;ASS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686853;GE;Plasturgie;Plasturgie;Plasturgie;PLASTURGIE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686887;GE;Sectes;Sectes;Sectes;SECTES;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686818;GE;Filière véhicules industriels;Filière véhicules industriels;Filière véhicules industriels;FIL VEHIC;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686835;GE;Industrie de défense;Industrie de défense;Industrie de défense;INDUSDEFEN;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686861;GE;Professions de santé et coordination sanitaire;Professions de santé et coordination sanitaire;Professions de santé et coordination sanitaire;PROF SANTE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686870;GE;Rapatriés;Rapatriés;Rapatriés;RAPATRIÉS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686878;GE;Route et sécurité routière;Route et sécurité routière;Route et sécurité routière;ROUTE SÉCU;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686844;GE;Industries mécaniques;Industries mécaniques;Industries mécaniques;INDUSMECA;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO686810;GE;Famille et adoption;Famille et adoption;Famille et adoption;FAMILLE;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687613;GE;Droits de l'enfant et de l'adolescent et protection de la jeunesse;Droits de l'enfant et de l'adolescent et protection de la jeunesse;Droits de l'enfant et de l'adolescent et protection de la jeunesse;DROIT ENFA;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeExtraParlementaire_type;PO687635;ORGEXTPARL;Haut Conseil à l'égalité entre les femmes et les hommes;du Haut Conseil à l'égalité entre les femmes et les hommes;Egalité femmes hommes;303;;2012-01-03;;;Article 4 du décret n° 2013-8 du 3 janvier 2013;;;;;;
;OrganeParlementaire_Type;PO687137;CMP;commision mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi de finances rectificative pour 2012;du projet de loi de finances rectificative pour 2012;PLFR 2012 (2);403;;2012-12-17;;2012-12-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687109;GE;Industries agro-alimentaires et filière agricole;Industries agro-alimentaires et filière agricole;Industries agro-alimentaires et filière agricole;AGROAL;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687370;GE;Langue des signes;Langue des signes;Langue des signes;LANSIGN;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687120;GE;PME;PME;PME;PME;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687403;GE;Internet et société numérique;Internet et société numérique;Internet et société numérique;INTERNET;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687392;GE;Villes et banlieues;Villes et banlieues;Villes et banlieues;VILBANLIEU;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687473;GE;Coopération et aide au développement;Coopération et aide au développement;Coopération et aide au développement;COOPÉRATIO;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO688296;GE;Forêt, bois, meuble et ameublement;Forêt, bois, meuble et ameublement;Forêt, bois, meuble et ameublement;FORET BOIS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687381;GE;Langues régionales;Langues régionales;Langues régionales;LANGREGION;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687098;GE;Energies;Energies;Energies;ENERG;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO687144;CMP;commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion de la proposition de loi visant à préparer la transition vers un système énergétique sobre;de la proposition de loi visant à préparer la transition vers un système énergétique sobre;Tarification énergie;150;;2012-12-17;;2012-12-19;;5ème République;14;;;;
;OrganeParlementaire_Type;PO688506;CNPE;Commission d'enquête sur la situation de la sidérurgie et de la métallurgie françaises et européennes dans la crise économique et financière et sur les conditions de leur sauvegarde et de leur développement;de la Commission d'enquête sur la situation de la sidérurgie et de la métallurgie françaises et européennes dans la crise économique et financière et sur les conditions de leur sauvegarde et de leur développement;Commission d'enquête sur la sidérurgie et la métallurgie;CESIDMET;;2013-01-23;;2013-07-10;;5ème République;14;;;;
;OrganeParlementaire_Type;PO689006;GE;Construction, éco-construction et logement;Construction, éco-construction et logement;Construction, éco-construction et logement;CONS;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO689000;GE;Chasse et territoires;Chasse et territoires;Chasse et territoires;CHA;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO712133;CMP;"Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion de la proposition de loi pour l'économie bleue
";"de la commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion de la proposition de loi pour l'économie bleue
";Économie bleue;2964;;2016-03-25;;2016-04-07;;5ème République;14;;;;
;OrganeParlementaire_Type;PO689018;GE;Politique portuaire;Politique portuaire;Politique portuaire;POL;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO690204;CONFPT;Conférence des Présidents;de la Conférence des Présidents;Conférence des Présidents;CNFPDT;;2012-06-20;;2017-06-20;;5ème République;;;;;
;OrganeParlementaire_Type;PO689012;GE;Parcs nationaux et régionaux;Parcs nationaux et régionaux;Parcs nationaux et régionaux;PARC;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO689024;GE;Santé environnementale;Santé environnementale;Santé environnementale;SANT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO688337;GE;Alimentation et santé;Alimentation et santé;Alimentation et santé;ALIM;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO688348;GE;Textile et industries de main d'oeuvre;Textile et industries de main d'oeuvre;Textile et industries de main d'oeuvre;TEXT;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO688313;GE;Médicaments et produits de santé;Médicaments et produits de santé;Médicaments et produits de santé;MEDIC;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO690795;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi portant création du contrat de génération;du projet de loi portant création du contrat de génération;Contrat de génération;CMP_492;;2013-02-07;;2013-03-03;;5ème République;14;;;;
;OrganeParlementaire_Type;PO689030;GE;Viticulture;Viticulture;Viticulture;VITI;;;2012-11-14;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO692289;GE;Santé et numérique;Santé et numérique;Santé et numérique;SANTÉ NUMÉ;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeExtraParlementaire_type;PO693055;ORGEXTPARL;Conseil national du numérique (formation élargie);du Conseil national du numérique (formation élargie);Numérique;304;;2012-12-13;;;Article 5 du décret n° 2012-1400 du 13 décembre 2012;;;;;;
;OrganeParlementaire_Type;PO692259;GE;Genre et droits des femmes à l'international;Genre et droits des femmes à l'international;Genre et droits des femmes à l'international;GENRE INTE;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO692277;GE;Prévention et lutte contre la toxicomanie;Prévention et lutte contre la toxicomanie;Prévention et lutte contre la toxicomanie;TOXICOMANI;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO692265;GE;Responsabilité sociale des entreprises;Responsabilité sociale des entreprises;Responsabilité sociale des entreprises;RESPONSABI;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO692271;GE;Papier et imprimés;Papier et imprimés;Papier et imprimés;PAPIER IMP;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO692283;GE;République et religions;République et religions;République et religions;REPUB RELI;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeExtraParlementaire_type;PO692699;ORGEXTPARL;Comité national d'orientation de la société anonyme Bpifrance;du comité national d'orientation de la société anonyme Bpifrance;BPI-Groupe;306;;2012-12-31;;;Article 7-2 de l'ordonnance n° 2005-722 du 29 juin 2005 relative à la Banque publique d'investissement;;;;;;
;OrganeParlementaire_Type;PO693041;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion de la proposition de loi portant réforme de la biologie médicale;de la proposition de loi portant réforme de la biologie médicale;Biologie médicale;CMP_BIO;;2013-03-27;;2013-05-16;;5ème République;14;;;;
;OrganeParlementaire_Type;PO692301;GE;Tabac;Tabac;Tabac;TABAC;;;2013-02-27;2017-06-20;;5ème République;14;;;;
;OrganeExterne_Type;PO692864;MINISTERE;Ministère chargé des affaires européennes;des affaires européennes;Affaires européennes;AEU;;2013-03-20;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO692867;MINISTERE;Ministère chargé du budget;chargé du budget;Budget;BUD;;2013-03-20;;2014-03-31;;;;;;;
;OrganeParlementaire_Type;PO693143;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et des délégués communautaires, et modifiant le calendrier électoral;du projet de loi relatif à l'élection des conseillers départementaux, des conseillers municipaux et des délégués communautaires, et modifiant le calendrier électoral;Election des conseillers départementaux ;CMP_630;;2013-04-02;;2013-04-14;;5ème République;14;;;;
;OrganeParlementaire_Type;PO693149;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi organique relatif à l'élection des conseillers municipaux, des délégués communautaires et des conseillers départementaux;du projet de loi organique relatif à l'élection des conseillers municipaux, des délégués communautaires et des conseillers départementaux;Election des conseillers municipaux (org.);CMP_631;;2013-04-02;;2013-04-17;;5ème République;14;;;;
;OrganeParlementaire_Type;PO693720;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi portant diverses dispositions en matière d'infrastructures et de services de transports.;du projet de loi portant diverses dispositions en matière d'infrastructures et de services de transports.;Infrastructures de transport;260-12-13;;2013-04-16;;2013-04-24;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694005;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi relatif à la sécurisation de l'emploi;du projet de loi relatif à la sécurisation de l'emploi;Sécurisation de l'emploi;CMP_774;;2013-04-22;;2013-05-14;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694085;CNPE;Commission d'enquête relative aux éventuels dysfonctionnements dans l'action du Gouvernement et des services de l'État, entre le 4 décembre 2012 et le 2 avril 2013, dans la gestion d'une affaire qui a conduit à la démission d'un membre du Gouvernement;de la commission d'enquête relative aux éventuels dysfonctionnements dans l'action du Gouvernement et des services de l'État, entre le 4 décembre 2012 et le 2 avril 2013, dans la gestion d'une affaire qui a conduit à la démission d'un membre du Gouvernement;Commission d'enquête sur l'action du Gouvernement;CEGOUV;;2013-04-25;;2013-10-08;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694548;GE;Chataigneraie;Chataigneraie;Chataigneraie;CHATAIGNER;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694425;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi relatif à la représentation des Français établis hors de France;du projet de loi relatif à la représentation des Français établis hors de France;Représentation des Français établis hors de France;376-12-13;;2013-05-15;;2013-06-27;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694654;CMP;Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans le domaine du développement durable;du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne dans le domaine du développement durable;Droit européen développement durable;775;;2013-05-28;;2013-07-02;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694584;GE;Métaux précieux;Métaux précieux;Métaux précieux;MÉTAUX PRE;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694554;GE;Jardins, paysage et horticulture;Jardins, paysage et horticulture;Jardins, paysage et horticulture;JARDINS;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694560;GE;Changements climatiques;Changements climatiques;Changements climatiques;CHANG CLIM;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694566;GE;Espace;Espace;Espace;ESPACE;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694572;GE;Filière brassicole;Filière brassicole;Filière brassicole;FILIÈRE BR;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeParlementaire_Type;PO694578;GE;Foncier;Foncier;Foncier;FONCIER;;;2013-05-22;2017-06-20;;5ème République;14;;;;
;OrganeExtraParlementaire_type;PO693355;ORGEXTPARL;Observatoire de la laïcité;de l'Observatoire de la laïcité;Laïcité;307;;2007-03-25;;;Décret n° 2007-425 du 25 mars 2007;;;;;;
